size,isdir,mode,mtime,ctime,atime,uid,gid,uname,grname
455,FALSE,644,2026-01-14T17:19:50Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
486,FALSE,644,2026-01-14T17:20:31Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
649,FALSE,644,2026-01-14T17:21:36Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
412,FALSE,644,2026-01-14T17:22:16Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
406,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
384,FALSE,644,2026-01-14T17:22:26Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
663,FALSE,644,2026-01-14T17:25:27Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
491,FALSE,644,2026-01-14T17:26:10Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
619,FALSE,644,2026-01-14T17:27:24Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
472,FALSE,644,2026-01-14T17:28:00Z,2026-01-14T23:50:29Z,2026-01-15T21:54:41Z,502,20,emartins,staff
273,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
266,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
273,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
300,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
295,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
305,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
210,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
266,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
285,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:13Z,2026-01-15T21:54:41Z,502,20,emartins,staff
271,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
231,FALSE,644,2026-01-14T17:32:36Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
208,FALSE,644,2026-01-14T17:33:08Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
253,FALSE,644,2026-01-14T17:33:35Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
342,FALSE,644,2026-01-14T17:35:40Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
275,FALSE,644,2026-01-14T17:36:04Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
574,FALSE,644,2026-01-14T04:00:23Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
431,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
698,FALSE,644,2026-01-14T04:05:18Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
696,FALSE,644,2026-01-14T04:06:10Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
336,FALSE,644,2026-01-14T04:07:20Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
354,FALSE,644,2026-01-14T04:08:24Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
399,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
485,FALSE,644,2026-01-14T04:11:27Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
345,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:12Z,2026-01-15T21:54:41Z,502,20,emartins,staff
448,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:58:10Z,2026-01-15T21:54:41Z,502,20,emartins,staff
619,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
430,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
345,FALSE,644,2026-01-14T07:57:28Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
663,FALSE,644,2026-01-14T17:39:57Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
385,FALSE,644,2026-01-14T21:32:08Z,2026-01-14T21:32:09Z,2026-01-15T21:54:41Z,502,20,emartins,staff
296,FALSE,644,2026-01-14T21:31:46Z,2026-01-14T21:31:47Z,2026-01-15T21:54:41Z,502,20,emartins,staff
301,FALSE,644,2026-01-14T17:48:39Z,2026-01-14T21:09:52Z,2026-01-15T21:54:41Z,502,20,emartins,staff
317,FALSE,644,2026-01-14T21:35:38Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
265,FALSE,644,2026-01-14T21:35:55Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
310,FALSE,644,2026-01-14T21:44:58Z,2026-01-14T21:59:43Z,2026-01-15T21:54:41Z,502,20,emartins,staff
279,FALSE,644,2026-01-14T21:48:59Z,2026-01-14T21:59:59Z,2026-01-15T21:54:41Z,502,20,emartins,staff
288,FALSE,644,2026-01-14T21:38:06Z,2026-01-14T21:59:43Z,2026-01-15T21:54:41Z,502,20,emartins,staff
320,FALSE,644,2026-01-14T21:38:20Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
339,FALSE,644,2026-01-14T21:38:54Z,2026-01-14T21:59:40Z,2026-01-15T21:54:41Z,502,20,emartins,staff
